code_rate SNR PERF N R METHOD
0.5 0 0.009 240 0.5 TRANSFORMER
0.5 1 0.003 240 0.5 TRANSFORMER
0.5 2 0.0008 240 0.5 TRANSFORMER
0.5 3 0.000138 240 0.5 TRANSFORMER
0.5 4 0.000015 240 0.5 TRANSFORMER
0.5 -2 0.04 448 0.5 TRANSFORMER
0.5 -1 0.019 448 0.5 TRANSFORMER
0.5 0 0.0068 448 0.5 TRANSFORMER
0.5 1 0.0017 448 0.5 TRANSFORMER
0.5 2 0.0003 448 0.5 TRANSFORMER
0.5 3 0.00004 448 0.5 TRANSFORMER
0.5 4 0.000006 448 0.5 TRANSFORMER
0.33 -2 0.011 440 0.33 TRANSFORMER
0.33 -1 0.004 440 0.33 TRANSFORMER
0.33 0 0.001 440 0.33 TRANSFORMER
0.33 1 0.00018 440 0.33 TRANSFORMER
0.33 2 0.00003 440 0.33 TRANSFORMER
0.33 3 0.000001 440 0.33 TRANSFORMER
