code_rate SNR PERF N R METHOD
0.33 -2 0.15 600 0.33 productAE
0.33 -1 0.05 600 0.33 productAE
0.33 0 0.007 600 0.33 productAE
0.33 1 0.00015 600 0.33 productAE
0.33 2 0.000001 600 0.33 productAE
0.33 -2 0.40 600 0.33 Polar
0.33 -1 0.20 600 0.33 Polar
0.33 0 0.05 600 0.33 Polar
0.33 1 0.004 600 0.33 Polar
0.33 2 0.00011 600 0.33 Polar
0.5 0 0.12 600 0.5 productAE
0.5 1 0.05 600 0.5 productAE
0.5 2 0.011 600 0.5 productAE
0.5 3 0.0005 600 0.5 productAE
0.5 4 0.000011 600 0.5 productAE
0.5 0 0.4 600 0.5 Polar
0.5 1 0.3 600 0.5 Polar
0.5 2 0.11 600 0.5 Polar
0.5 3 0.02 600 0.5 Polar
0.5 4 0.0015 600 0.5 Polar


